	Score	0.95 MoE	P-Value	FDR
ZNF257	0.8631688933763308			
EIF4A1P10	0.81372630855028			
SLC12A4	0.8124823148083224			
DUSP5	0.7900904322273031			
RDM1	0.7880609346402717			
CTSA	0.7847501961423171			
GRM1	0.7794764815869356			
HIST1H1A	0.778894635177867			
AC079866.1	0.7660834484913829			
MDS2	0.762439548274281			
RPS3	0.7589959055421333			
TNFSF4	0.7588774061484898			
SCIN	0.7393948161945286			
MED8	0.7343269439152984			
FKBP4	0.7251794660477099			
FAM200B	0.7247123127136482			
SYT14	0.7228787717353944			
AC008687.4	0.7176109400971359			
HIST1H2AE	0.7169725281106798			
SFT2D1	0.7106973962601368			
SMIM20	0.7031667349626681			
TRIB3	0.7026756185799725			
CSF2	0.7010721323265574			
EEF1G	0.6979404207264649			
PALM2-AKAP2	0.695738138776446			
SNRPGP14	0.6948214510782602			
AC008878.3	0.6943558571006824			
SULT1E1	0.6937515881562293			
AC108471.1	0.6921637519775542			
EEF1A1P16	0.691818320037181			
AC069431.2	0.6913422962826524			
CCL2	0.6906272366544944			
RPL18AP2	0.6894507950585353			
Z98742.2	0.6876388755401487			
IFNWP2	0.6856110675153476			
FRMD5	0.684674626338134			
GFI1B	0.6812584143181054			
KCNK12	0.6714766194612724			
NRK	0.6663341538358136			
TMEM78	0.6657672227451027			
TCEANC	0.6646299356263241			
DHRSX	0.6641436635568468			
BRDT	0.6619262534700582			
DTNA	0.6618621038515518			
TMCO5B	0.6588412518068418			
AC034268.1	0.6579205819167816			
RPL10P16	0.6548286505440731			
SYN2	0.6545692065205406			
SLC44A4	0.6523275012037439			
TMEM184A	0.6506842178642558			
SMDT1	0.6484377277514238			
UBALD2	0.6440624383902285			
EIF2B2	0.6437139313617154			
NR1D1	0.642413159186041			
CCL20	0.6422998637164006			
RPLP0P6	0.6420865136910076			
CHMP5	0.639379415597139			
TRIP10	0.6356476042339152			
FTH1P8	0.6356363208377105			
AC005912.1	0.626757720155221			
CKM	0.6257295252302186			
SLC19A3	0.6252085643678365			
ZNF143	0.6225024675078552			
CCSER1	0.6202118318155675			
CPM	0.619407418464712			
PRRG3	0.619253126527037			
ECSIT	0.6187855951207126			
MYSM1	0.6186528093601383			
S1PR1	0.6171864467526132			
NSUN4	0.6171693717618172			
AC233964.1	0.6159706743212092			
RPS2	0.6159066317175592			
MOGAT2	0.6156301209248642			
BNIP3P25	0.6119030448908421			
AC096571.1	0.611196692528907			
CARM1P1	0.6110182381288868			
COL23A1	0.6105822518290676			
NEDD9	0.6089209187760235			
NUPR1	0.6076020759825209			
TUNAR	0.605797254757518			
RGS7BP	0.6052938782535529			
STYXL1	0.6047758909184432			
AP003392.10	0.604011469239939			
AP003392.2	0.604011469239939			
DISC1	0.6030066914561008			
BNIP3P37	0.6027056537287534			
LRRC10	0.6017756311751231			
CDH19	0.6013325623510138			
AC010970.1	0.5995085249110098			
MYCT1	0.5994410760051462			
MAP3K19	0.5992047601043341			
SOX5	0.5988929048745923			
KRTAP9-12P	0.5962567582254547			
TRPC6	0.5959334677980771			
MFSD1P1	0.5954984773689557			
AP001258.2	0.5946255410688778			
AC103705.1	0.5941868326816668			
C2orf49	0.5938216736318808			
AC004980.4	0.5926663539256926			
DHPS	0.5922740705462084			
NPM1P31	0.5918828945009087			
P2RX3	0.5916100443099575			
AL590806.1	0.5914724492693498			
USP17L4	0.591295547064677			
KAAG1	0.5905492381453047			
HAUS6P3	0.5905478489703389			
ZNF716	0.5902808856398944			
