	Score	0.95 MoE	P-Value	FDR
BTG1	0.8659985872521269	0.16131838089396106	0.00019504305218590932	0.5326271186440678
DEFB131B	0.865984576730511	0.22789289520808467	0.0003520289234574949	0.5326271186440678
AC009413.1	0.8659843530766472	0.22789583910149308	0.00035678607107178533	0.5326271186440678
AL133260.1	0.86598393555721	0.22789496440997348	0.0003663003663003663	0.5326271186440678
RPL13AP20	0.865978053165031	0.22788230985246	0.00039008610437181863	0.5326271186440678
PCDHGA11	0.8659779403356536	0.21898931331489252	0.00039484325198610914	0.5326271186440678
CXorf49B	0.8659777648825385	0.22788146963984907	0.00040435754721469006	0.5326271186440678
CXorf49	0.8659777648825385	0.22788146963984907	0.00040435754721469006	0.5326271186440678
ANGPTL3	0.8659751059990631	0.22787635363827913	0.00040911469482898057	0.5326271186440678
RWDD4P1	0.8659679338501433	0.22786211740435608	0.00042814328528614244	0.5326271186440678
XRCC6P2	0.8659663349733429	0.2278596328216616	0.00044241472812901387	0.5326271186440678
GALNT18	0.865963581678446	0.2278546748819195	0.00045668617097188523	0.5326271186440678
LRRC55	0.8659621107307417	0.22785208741436577	0.00047571476142904717	0.5326271186440678
HOXC12	0.8659612565009587	0.22785054844248648	0.0004804719090433376	0.5326271186440678
EBF2	0.8659532301341264	0.22783697236245007	0.000494743351886209	0.5326271186440678
TNNI3	0.8659528539587863	0.2278268756796047	0.0004995004995004995	0.5326271186440678
EGR1	0.8659499526764965	0.18511538524578966	0.0005137719423433709	0.5326271186440678
NFKBIA	0.8659314334052471	0.16080358847105003	0.0005280433851862423	0.5326271186440678
PNRC1	0.8659269358995639	0.17350642296929442	0.0005328005328005328	0.5326271186440678
AC068533.4	0.8659012100165842	0.22772224711209124	0.0005708577137148566	0.5326271186440678
SPATA21	0.8658980037094094	0.21902218031768317	0.0005803720089434375	0.5326271186440678
RRAD	0.8658519553351228	0.21896755677577764	0.0006469720755435041	0.5326271186440678
MRPL45	0.8658060334541823	0.17282526809057341	0.0007278435849864421	0.5326271186440678
SKAP1	0.8657802059993036	0.21885589091357224	0.0007801722087436373	0.5326271186440678
TSPAN1	0.8657784570552121	0.2276366135574148	0.0007849293563579278	0.5326271186440678
FAM81B	0.8657751966965799	0.21893545519285698	0.0007944436515865087	0.5326271186440678
RPL5	0.8657466580617613	0.17289633179767663	0.000827743684886542	0.5326271186440678
CLK3	0.8657375845415762	0.1733565695943108	0.0008420151277294134	0.5326271186440678
CREBRF	0.8657316092380678	0.18525873075717877	0.0008562865705722849	0.5326271186440678
SLC25A23	0.8656963439579658	0.1855362036105739	0.00090861519432948	0.5326271186440678
FBXW5	0.8656940999060475	0.17267175816291555	0.000918129489558061	0.5326271186440678
CLK4	0.8656841647253607	0.1602778797729037	0.0009466723752438038	0.5326271186440678
