	Score	0.95 MoE	P-Value	FDR
NAP1L1P1	0.8660186008115549			
CSNK1G2P1	0.8660185998264743			
HNRNPA1P49	0.8660185602982186			
AP003057.1	0.8660185240397156			
OR7E125P	0.8660184686195			
KRT8P10	0.8660184262547767			
AC096571.1	0.8660180242349991			
TNRC18P1	0.866017826031602			
IFNWP2	0.8660158125079344			
RPL18AP2	0.8660111209784236			
PCDHGA4	0.8660034111834113			
SLC46A2	0.8659968968042641			
AL049873.1	0.8659963625365008			
RPL10P13	0.8659909582824012			
FCAMR	0.8659506499265162			
CARMIL2	0.8659332006545516			
MMEL1	0.8659248337865125			
GAPDHP62	0.8659182616032367			
CR354443.1	0.865904009624019			
AL035405.1	0.8658751066467151			
AC007663.1	0.8658698292538259			
AP003392.10	0.8658680951282761			
AP003392.2	0.8658680951282761			
KLHL33	0.8658593370416799			
AHCYP2	0.8658573618528864			
AL353692.1	0.8658527168163809			
NFE2L3P1	0.8658347222226059			
MDS2	0.8658052878985362			
TGIF2-C20orf24	0.8657759395217294			
MRPL53P1	0.8657539093022787			
C17orf78	0.8656999771103855			
GPRC5D	0.8656993356454323			
COL23A1	0.8656932745797398			
Z98749.2	0.8656806584649909			
SMIM20	0.8656672784450875			
TPR	0.8656361767492063			
NUP210L	0.8656361309326502			
ZNF324B	0.8656283178365749			
TUFT1	0.8656271007063928			
HCRTR1	0.8656216773459918			
AC090958.1	0.8655803309474212			
AC090958.2	0.8655803309474212			
GFI1B	0.8655743487650587			
AC093107.2	0.8655627236958693			
AC136944.3	0.8654915909330793			
AC019097.1	0.8654837228567879			
HIST1H1A	0.8654833496860601			
HS6ST1P1	0.8654726097760662			
GRM1	0.8654670544373877			
SMYD3	0.8654271026232728			
AC079866.1	0.8654105889959703			
MRPS18AP1	0.865404582548969			
PARP3	0.8653988662488484			
EEF1A1P10	0.8653691347615717			
SLC1A2	0.8653323063702301			
KCNJ9	0.8653228434948749			
KRT8P8	0.8653085909597985			
AL356801.1	0.865290742784345			
AC004691.2	0.8652700575353168			
EEF1B2P6	0.8652668997422518			
RNF165	0.8652639882905958			
HLA-H	0.8651648550964899			
SORBS2	0.8651129093663523			
PALM2-AKAP2	0.8650876422326985			
AC008878.3	0.8650144314651788			
MDGA2	0.8649741226170161			
AC018638.2	0.8649613875882595			
RNF122	0.8649101114739812			
WDR41	0.8649085043780907			
C22orf23	0.8649067558877822			
SNRPGP14	0.8649052218396008			
PUDP	0.8647916523869631			
AL590806.1	0.8647529574739207			
TBC1D15	0.8647472485057138			
TXNDC2	0.8646218736878042			
C6orf201	0.8646077693128649			
AC091167.3	0.8645996223543274			
PAMR1	0.8645986204926326			
SLC30A8	0.8645945825782657			
ZNF257	0.8645915801032942			
KLHL10	0.8645434179947906			
LONRF2	0.8645275361363034			
ACOT9	0.864461239663556			
ACSM1	0.8643694383100875			
TTLL1	0.8643407710975667			
STXBP5L	0.8643295907296071			
AC090360.1	0.8642632103520631			
ZNF833P	0.8642050719404994			
GYPE	0.8639880350854363			
SDAD1P1	0.8639786539395536			
DTD1	0.8639630367618434			
ISY1-RAB43	0.8635943200910701			
CLK2	0.8635567004520585			
AC025048.6	0.863491733016515			
KCNK12	0.8634315955607257			
LGMN	0.8631969303972057			
GPR161	0.8628702212223587			
CHRDL2	0.8628396285235695			
KANK1	0.8627721173622963			
TM4SF20	0.8627624980400258			
UNG	0.8627264354198869			
HELB	0.8627109200731459			
BMS1P3	0.8626910708590374			
SYT14	0.8626361827023611			
RNASE7	0.8626309093251147			
EHBP1	0.8622624917780822			
VSNL1	0.8620641426819137			
CCT6P1	0.8620600720637257			
AL132656.1	0.8620507409811285			
CPM	0.8619321985534819			
MRPL9	0.8616505538878649			
P2RX2	0.8615271331988896			
CDH8	0.8614621763972612			
TBCE	0.861417650626371			
PSAT1	0.861355318903977			
C12orf56	0.8613516349908399			
GALNT14	0.8612298476130157			
MCPH1	0.8611459992580944			
CEP76	0.8605863925611397			
MRPL10	0.8605125943432554			
ZNF550	0.8604809677397441			
PPT2	0.8604017288590784			
NEURL1	0.860296649589523			
CYP7B1	0.8602300330476549			
APLN	0.8599574311833412			
NOS1AP	0.8595559364517149			
GPNMB	0.8593218126163642			
F11R	0.8589139460962195			
PIK3IP1	0.858531172892621			
SERPINF1	0.8579101554433549			
SVILP1	0.8573716562172877			
AES	0.8567878073877102			
ASPA	0.8567866452734821			
DNAJB9	0.8565226738796865			
RAB8A	0.8563156135954919			
PALM2	0.8560923349750186			
MSL3	0.8560588849664326			
TIGD1	0.8558560859228704			
VPS29	0.8555086220431459			
MICA	0.8554119275221831			
BTBD7	0.8553883054348935			
BCDIN3D	0.8552006160433444			
TMEM212	0.8548153729039587			
PSPH	0.8545497091197654			
ANXA1	0.8543224155842617			
NONOP2	0.854246131280649			
PPP3CC	0.8540452029590876			
ATP5A1	0.8538723911981814			
FRMD5	0.8536872942528049			
IST1	0.8536594614426735			
AP3S1	0.8535441553812361			
EMP2	0.8532836821672445			
FSTL4	0.8531731963402125			
C9orf47	0.8530045473756652			
AMACR	0.8529361007399583			
CAPN14	0.8526912352595452			
SLC26A8	0.8519534401763639			
TMPRSS2	0.8515442960181594			
ARHGAP42	0.8507830482036751			
ARPC1A	0.8507770441109105			
ZNF639	0.8507195814276471			
NAPA	0.850652561817891			
CFAP77	0.8497398292006476			
BX842568.3	0.8484995080704087			
MYL12A	0.8483321088613337			
ZNF487	0.848262436975359			
ZNF720	0.8482217904759174			
ZNF500	0.8481749199959652			
PAX5	0.8481098322638957			
ATP8B2	0.8480535342998923			
FNIP1	0.8480270316674463			
CALHM2	0.847958137343387			
TNRC6B	0.8473130166693007			
NEMP2	0.8472926897451131			
ZFAND1	0.847194828666973			
TCF20	0.8471480530178737			
SMPX	0.8470982330265917			
PHKA2	0.8467559917431736			
PSG5	0.8466993228332629			
BX284632.1	0.8463297220345892			
NFXL1	0.8461626582996924			
TSPAN2	0.8452768849242951			
GBP1P1	0.8452418290681666			
TMPRSS4	0.8452149780146372			
TRPC1	0.845088732422724			
SESTD1	0.844880668648341			
LIG4	0.8447446036531765			
REC8	0.8445490577435976			
RTP4	0.8443101345603383			
RB1CC1	0.8437672223817518			
ASS1P12	0.84345643487688			
PDCD6IP	0.8434391978843755			
KANSL1	0.8434290060014901			
AAAS	0.8428917722223241			
ILK	0.8427521094054551			
ABLIM3	0.8426412892392541			
GRPEL1	0.8419555100256453			
SLC46A1	0.8417401788844043			
AL157392.5	0.8413766309471641			
YARS2	0.8408123825912156			
BMS1P4	0.8407093330391441			
HAUS8	0.8406200107186826			
BTNL9	0.8404745762377053			
CD63	0.8404320916750048			
CFDP1	0.840071010682452			
GRAMD2A	0.8399741512752954			
SCP2	0.8399222428519274			
SDHAP2	0.839862949190301			
PARN	0.8397866837945445			
SFT2D1	0.8392578305171613			
TSEN15	0.8389295558598777			
UBR5	0.8386039957844071			
TDP1	0.8383907821233756			
NR1I3	0.8382253544981304			
FILIP1L	0.8374498602974112			
PDE2A	0.8373973934997444			
FKRP	0.8370812298714845			
ZNF33A	0.8368017215860439			
MKL1	0.8366394229929697			
CBR4	0.8354472597812442			
TTC8	0.8352219370411311			
CADM4	0.8348618081801725			
CAST	0.8343197239454663			
VSIG8	0.8335110460566281			
MRPS18A	0.8333457116365748			
TMEM256-PLSCR3	0.8330642715705285			
SYBU	0.8330325051069589			
TTI2	0.8326549473219889			
FANK1	0.8325096424178765			
ITPK1	0.832271413723089			
OR2A9P	0.8314456180046429			
CRADD	0.8313907690114126			
PTPN20	0.8313265022048733			
TIRAP	0.8312489250164112			
AL590705.4	0.8304442553506776			
SIN3A	0.8299460831059746			
FCF1	0.8297567108206039			
CBSL	0.8294502452301007			
FBXL12	0.8289616321801748			
ZDHHC17	0.8284682227882941			
PBX2	0.8283131353032711			
MEF2A	0.8282086475045318			
MFSD4B	0.828018458054738			
SLC9A5	0.8274395670324417			
ATF3	0.8269652297289083			
THRB	0.8268388855277943			
CCDC148	0.826435480944861			
NDE1	0.8264199992085391			
ADAM22	0.8263173820095168			
COBLL1	0.8262704263245708			
MICAL1	0.8262503079522977			
MED29	0.826238489193069			
RSL1D1	0.8261618934253652			
TRAF3IP2	0.8258267775548624			
SP110	0.8255466455159467			
LRRC4	0.8253775522550072			
CHMP4A	0.8252567168393807			
ASPRV1	0.8251927518281618			
ZNF22	0.8246513642231212			
OR7C1	0.8246439901149977			
PCDHGA6	0.8245820267260464			
HADHA	0.8245087097221289			
STAG3L3	0.8239751791095109			
ZBTB12	0.8231979762234493			
LAYN	0.8230563433157201			
TMEM62	0.8227404255687856			
AF131216.2	0.8226995559387527			
PCGF2	0.8226934935958614			
SIPA1L2	0.8223960800449518			
PDGFRB	0.8223729345353014			
CDH5	0.8222000764646266			
NAGK	0.8220439475971764			
EZH1	0.8218309240999551			
NEO1	0.821630993190717			
AC069499.1	0.8211047435484988			
TIMP3	0.8209215544757796			
DNAJA3	0.8207784615651417			
PPFIA4	0.820762061954595			
NUDT9	0.8207042817738859			
ARIH2	0.8205948728214838			
TTC38	0.8202712179312245			
TEN1-CDK3	0.820201943347997			
ARFGAP3	0.8199915173129301			
HLF	0.819514987565779			
KCNA7	0.8194993250796824			
THSD1	0.818653350731058			
KANSL1L	0.8184212284384995			
MFSD4A	0.8175648392205397			
NIT1	0.8174130820000539			
PHLDB2	0.8171857105005278			
TXNDC15	0.816923766771295			
DONSON	0.8166801551503832			
DBN1	0.8166591640172421			
FH	0.8166138055423765			
AL590627.1	0.8163212739412233			
PUM3	0.8149166372519738			
FHL2	0.8140530604135411			
AGK	0.8137006168659963			
ALOX12P2	0.8134764433257273			
PCDH10	0.8133275598633897			
AKAP6	0.8133077936157487			
KLK5	0.8131263784250063			
ZFYVE28	0.8129673505538504			
NRBP2	0.812762760564628			
PLA2G4E	0.8127482329539333			
PDHB	0.8126453301543893			
DHPS	0.8121222360998339			
VPS53	0.8120520726370176			
PAQR8	0.8117835564497804			
C1orf27	0.8114584723077823			
ACTR3C	0.811339526128733			
HSD17B7	0.811035818078349			
CDKN2B	0.8102594586728321			
GOLGA5	0.8098305696117212			
CHMP5	0.8097213218876195			
AC004967.1	0.8093926091164202			
CIITA	0.8093427038689924			
PWP2	0.8091610131822585			
KLF15	0.8085803654264555			
ZNF138	0.8082433911818989			
TMEM69	0.8076010894309343			
GPR89B	0.807406707652621			
PACSIN2	0.8073562629753954			
ADAMTS9	0.8073061475911634			
FAM219A	0.8063171102075509			
LEPR	0.8054609787326215			
CICP22	0.8052691649230018			
CCDC96	0.8050572982344141			
PPP1R12B	0.8046410880448172			
ADA	0.8044656388209475			
IFIT3	0.8041406741240982			
USP48	0.8041286921249561			
HSP90AB1	0.8034437230543195			
MAN2C1	0.8027026012764766			
HADH	0.8019576720640635			
LIN9	0.8016921210578147			
BDNF	0.8016623201353293			
HCFC1	0.801248198643865			
TJAP1	0.8010246406975918			
ACTG1	0.8002568961024256			
FANCA	0.8002071373128555			
STX1B	0.7989043139894378			
LRRFIP1P1	0.7986442748360714			
JARID2	0.7982499487540118			
IL1A	0.7982459301467606			
ZCCHC11	0.7980163595120544			
CDK11A	0.7979520583234142			
NAF1	0.7975079934667029			
UBE2L6	0.7967399351886348			
NEDD9	0.7964254762238757			
AC132812.1	0.7960354094773142			
TSPAN5	0.7959713633427936			
GLA	0.7959183377625804			
B4GALNT2	0.7957348917863976			
ARHGAP21	0.7956509278679639			
ALG10	0.7948167957497053			
RPLP0P6	0.7946253585794439			
CDKN2AIP	0.7941752336991225			
LAS1L	0.7933235976704598			
DHFR2	0.7932706893267374			
AC012184.2	0.7932638998690815			
PAPLN	0.792775641577593			
BVES	0.7925692620015546			
TRPC4AP	0.7923018220196156			
INTS7	0.7922441905406902			
ARHGEF35	0.7922223368214468			
MCTP2	0.7921907183881912			
SLC22A15	0.7920717268089742			
USP4	0.79132425267527			
MRPL42	0.7912522212452922			
MSTO1	0.7912109247694128			
NARS2	0.7903358962710894			
TRIM65	0.7901423178061271			
ZMYM5	0.7901368101451514			
TTC21B	0.7896659584385156			
BRD7	0.7895720501263852			
TOX2	0.7895341865631834			
NIPBL	0.7894360814781038			
LHFPL5	0.7893680172940968			
KIDINS220	0.7891089804517647			
PAPSS1	0.7889874427926775			
FAM221A	0.7886779400986523			
IL31RA	0.7886014213121395			
SENP7	0.7882595195117125			
PSMB2	0.7879403335099331			
PDCD2	0.7878705227582007			
KYNU	0.7878702061020285			
AEBP2	0.7874521017891805			
CCL28	0.7874187694575289			
KLHDC2	0.7869694102317792			
HLA-E	0.7867286419093642			
LIG3	0.7858291232090322			
POP1	0.7857657430961897			
AC007240.1	0.7855771874868522			
CCDC115	0.7854596333988831			
PJA1	0.7853867978854704			
ZNF41	0.7853388019066097			
AC010970.1	0.785029264621195			
HIST2H2BF	0.7849938437319927			
RPS3	0.7848199490290858			
TTLL7	0.7846138937503173			
SEC23B	0.7839706138587216			
FGF12	0.783677514049328			
KIAA0319	0.783198866242597			
ASAP2	0.7831819330836248			
GSTM4	0.7831487849223873			
YTHDC1	0.7830935448471508			
PRR5L	0.7825747904171405			
MRPS23	0.7824303316798026			
CBWD1	0.7820134842950087			
CACNA2D2	0.7818487312617161			
C19orf71	0.7817954725650621			
LCTL	0.7817436194328222			
HERC2P2	0.781727233484274			
SAMHD1	0.7816610396316779			
C1QBP	0.7815759010695523			
IFT88	0.7807372541774058			
METTL3	0.7804829949633202			
CLCN6	0.7804120132290399			
HS6ST3	0.7803269239190476			
IDH3A	0.7791473966394428			
ZNF169	0.7790898654596471			
OR5A1	0.7790193684405898			
TADA2A	0.7787180937350497			
ZNF385C	0.7780081876176272			
PRKCH	0.7775582666770048			
ZIC5	0.7775161676854346			
CEP162	0.7773401972363622			
INO80D	0.7767166356985683			
MCAM	0.7763856717111436			
TP53INP2	0.7763436311899184			
IARS	0.7761964814820329			
TLE2	0.7761481238085136			
KAT8	0.7753492615306197			
PTGR1	0.775109041439314			
