	Score	0.95 MoE	P-Value	FDR
KLK2	0.8660131493407206			
TRMT112	0.8659609450248463			
CFL1P2	0.8659561387881276			
EEF1B2P7	0.8659560874068303			
AC104619.1	0.8659546255585036			
AC136632.1	0.8659528988925864			
KRT16	0.8659349096030666			
DUSP1	0.8659322210176058			
FAM60DP	0.8659238763025076			
RPL10A	0.8659023191332919			
SMIM11A	0.8658889765567207			
AC137055.1	0.8658779134400197			
MT1P3	0.8658381637440615			
TXN	0.8658377987819457			
BLK	0.8658329499934747			
SNRPB2	0.8658296464898763			
RPL24P2	0.8658291117989255			
KRTAP2-3	0.8658150813549005			
AC138894.3	0.8658129763242381			
TMSB4X	0.865809129968651			
NRK	0.8657897654983893			
ASB1	0.8657884297338023			
RPL21	0.8657846871855626			
CXCL8	0.8657843462046834			
RPS15A	0.8657645413417456			
OR7E94P	0.8657500876507463			
RPS17	0.865726369859884			
BCL2A1	0.865710418709857			
RPS3	0.8656974080270474			
CTGF	0.8656425009714167			
RPS23	0.8656405505738727			
KLF1	0.8656281280136182			
YES1P1	0.8656275190546033			
DRC7	0.8656169508888577			
DRAP1	0.8656065124316399			
TSC22D1	0.865590728549414			
HSBP1L1	0.8655832186664557			
RPL22L1	0.8655766376928767			
EBI3	0.8655649339397059			
IL1RAPL1	0.8655134219219239			
UBA52	0.8654905035617487			
MT1F	0.8654892205095996			
BNIP1	0.8654552942564635			
PI3	0.8654415052871975			
MT1G	0.8654383016742967			
KLF6	0.8654077819876115			
UQCRH	0.8653779352169326			
RPS13	0.8653759232074696			
C8orf4	0.8653737170587897			
DUSP5	0.8653710112381318			
GPS2	0.8653651880093806			
TMEM184A	0.8653608392636908			
GAPDHP38	0.8653429070660421			
COA6	0.8653258874552534			
AC108471.1	0.8653156581797723			
PPIAP30	0.8652964151241647			
TMCO5B	0.8652742039486274			
XKR9	0.865230516749497			
AC009299.1	0.8652253013595932			
ELP3	0.865215513318477			
AC099066.3	0.8652047917546578			
OR8D4	0.8651972603741429			
AC091959.2	0.8651814943315526			
MRPL42P4	0.8651814159871454			
EEF1A1P25	0.8651773320626255			
PPIH	0.8651368289918558			
RPL12P10	0.8651231982604164			
CCL20	0.8651200593577488			
OR8H2	0.8651105335824617			
RND1	0.865069811724174			
TMEM265	0.8650443768004288			
BTF3	0.86503077478328			
NDUFAF4	0.8650300830250579			
GPR137	0.8650237536090017			
ERCC1	0.8649777935343209			
IL2RG	0.8649357924915965			
ZFHX3	0.8649328790693231			
TNFSF4	0.8649282098693359			
RPL23AP24	0.8649205002721276			
IFNL2	0.8648874366581841			
UBALD1	0.8648834574685982			
C17orf49	0.864878081292625			
ELOC	0.8648776774553776			
LILRB1	0.8648653250760316			
CBLC	0.8647803619837929			
UQCRB	0.8647765226648074			
CCDC9	0.8647708861990754			
TMEM106C	0.8647576958999118			
CREB5	0.8647332268306699			
PSG2	0.8647297481122326			
SPSB3	0.8646811341973362			
RUNX1	0.8646078047060578			
DNAJC1	0.8645950908793502			
RPL11	0.8645881740718085			
MTHFD1L	0.8645538896854361			
RPL34	0.8645450770477331			
IL20	0.8645343238221368			
CCL2	0.8645342358162295			
IDH3G	0.8645287483287154			
RPS18P13	0.8644991771103032			
AC004057.1	0.8644432747916093			
KTN1	0.8643482076476406			
PHLDA2	0.864272658216322			
MYSM1	0.864219935077082			
AREG	0.8642096062306944			
TNFSF18	0.8641915024779884			
MFSD1P1	0.8641614372301754			
KRT17	0.8641433426323101			
CRB3	0.8641151166965721			
MCTS1	0.8640919864851411			
LSM3	0.8640842567122559			
AC008073.3	0.8640803936095474			
NDUFAF2	0.8640132875361416			
GABRA4	0.8639691874457233			
RUNX1T1	0.8639242901619644			
PPP1R15A	0.8639208772360815			
COX17	0.863913085579836			
RPL22	0.8638176697591249			
TYW3	0.8638013696256183			
RTCA	0.8637645422854571			
IL6	0.8637566489625335			
ZNF257	0.8637550201138783			
TUNAR	0.8636713970895253			
ZSWIM7	0.8636549156143305			
OSER1	0.8635825659699727			
RAB32	0.8635702882572002			
TEX30	0.8635308743774075			
RPL3	0.8634759332016865			
SEC61G	0.86347108810235			
SELENOK	0.8634369141735108			
TPRA1	0.8634282023874436			
INHBA	0.8634134940554408			
PDE9A	0.8633746141806758			
KRT7	0.8633605256776177			
HSBP1	0.8633261983866071			
GDF15	0.8632998649410206			
C12orf45	0.8632241159933559			
AC026366.1	0.8632035773906532			
IL1A	0.8630543641921179			
GSG1L	0.8629925146836822			
IL24	0.8629439751750192			
SNRPF	0.862914121750967			
ECSIT	0.8628016669629963			
RPL12	0.8627722050675444			
CASP8	0.862738035710987			
RPL14	0.8625587055345123			
SYN2	0.8625229864292944			
CXCL3	0.8624072643839699			
MYOM1	0.8623494093102165			
HLA-V	0.862287021749027			
YEATS4	0.8622068715577637			
USMG5	0.8621847961071739			
KCNIP4	0.8620957802276993			
MRLN	0.862024217528082			
RPS27	0.8618536891773648			
DAPK3	0.8618535168784695			
POMP	0.8617853410878958			
FAM3A	0.8617192057740949			
SLCO2B1	0.8617162814553812			
UPP1	0.8616749462900148			
RPL41	0.8616414603787966			
MTIF3	0.8615723869951367			
MAD2L2	0.8613356026290981			
RPS20	0.8612567552830327			
RBCK1	0.8612512332677609			
TMEM258	0.8611136529494248			
CWF19L2	0.8609247815080752			
RPF2	0.8607808476451921			
C11orf68	0.8606300724468035			
CREBRF	0.8605894199616602			
CCDC25	0.8605338187597932			
RDM1	0.8603423634357115			
RPL35A	0.8603057625120454			
PPDPF	0.8602619159579447			
TRIB3	0.860010064940027			
AC073621.1	0.859978837262327			
DISC1	0.85992906296261			
RND3	0.8597456204338664			
CD59	0.8595626214808619			
BBS7	0.859414524359102			
PROSER2	0.859318796730794			
ZFAND2A	0.8593186766392094			
CCDC174	0.859219604349031			
MECP2	0.859196099259435			
AKR1E2	0.85919193809607			
SCIN	0.8589048183818432			
FRA10AC1	0.8587241391881316			
DHPS	0.858605501486805			
RPL26	0.858495368429752			
DNAJC2	0.8583644484439776			
CNFN	0.858244437821609			
RPL10P16	0.8581952043646579			
SF3B6	0.8581800346137926			
RPS12	0.8581740358852403			
CTNNBIP1	0.8577960436501273			
TBCA	0.8577290451803149			
MPDU1	0.8576644759417285			
CLK1	0.8572960513410152			
HSPB1	0.8571118370021503			
CHD6	0.8569413024147505			
RPS24	0.8568889320833122			
RIOK2	0.8565618309970942			
PFDN6	0.8564626512752282			
HIST1H2AE	0.8561032811001681			
ZNF787	0.8561024640142594			
PAM16	0.8560858032298098			
SLC9A9	0.8560288933596505			
RPL7A	0.8558852330275153			
THOC7	0.8558338612819767			
FGF23	0.8558051034446794			
ANKRD1	0.8556622940447597			
NOP53	0.8549937821373746			
CRYZL1	0.8549595226880263			
CSF2	0.8549147303011044			
SARNP	0.8548631222880981			
NUPR1	0.8548069472178809			
RPL18A	0.8547908871306283			
GADD45A	0.8540995900980021			
FARS2	0.8539483498448296			
BBX	0.8539098014515122			
IL1B	0.8538426870558108			
NEDD4L	0.8537066258831129			
GPHN	0.8535218295678197			
FKBP3	0.8532855664506328			
SYT14	0.8526063733195919			
LYRM7	0.8524447764491271			
SHARPIN	0.8518941065186939			
HMG20B	0.8517301586058106			
SPRR1B	0.8514975854861295			
DMXL1	0.8513452817838653			
CYP1A1	0.8509706647425795			
ESF1	0.8504987646452759			
EEF1G	0.8504863170142394			
RALBP1	0.850455520318616			
ATF3	0.8504195177518062			
EIF2S2	0.8503562781152304			
RPL23	0.8501072371427014			
JUN	0.8495667300623714			
ZNF581	0.8492402151047947			
RPS6	0.8491339842294939			
RUNX2	0.8485289686197388			
ZNF143	0.8482616555795728			
CCDC34	0.8482177923915172			
UBXN11	0.8479407831785876			
UQCC2	0.8477826567577601			
RPL38	0.847375386603556			
EIF3J	0.8472071975781303			
CST6	0.8470902349821818			
TRMT1	0.8469398132861852			
CXXC4	0.8468144259216056			
RPL19	0.8466010640638865			
UBALD2	0.8464973388826098			
BAX	0.8464590154393464			
RPL27A	0.8456268327617222			
PRSS3	0.8454722423800634			
ATP5G2	0.8451491150545276			
NPHP3	0.8444400846750134			
MRPL1	0.8444300501946601			
MTA1	0.8444036802162537			
SMDT1	0.8442777978396241			
AC138517.2	0.8439521563069219			
RNASEK	0.8437784633646467			
FAM96B	0.8434551504504177			
EIF4EBP1	0.8431373090084153			
PRRG3	0.8430197584774985			
ERGIC3	0.8426826368871423			
ARL4D	0.8425647854040647			
PCDH19	0.8421268554066386			
PPP1R3B	0.8418264718283961			
SULT2B1	0.8415710276898123			
BIRC3	0.8414796310966685			
CSF3	0.8408766003827465			
RPS2	0.8402434298355658			
COX7A2L	0.8399565784722034			
MYL12B	0.8399180117808325			
CKS1B	0.8398441305316091			
MNS1	0.8396043396251139			
MPST	0.8395249275083055			
CCDC130	0.8394316176928669			
COX7C	0.8391546441165934			
NAP1L1	0.8385203620338099			
OST4	0.8372790371898159			
ZC3H15	0.8370131577157965			
DYNLRB1	0.8351294930224249			
S100A10	0.8349844059140589			
RPL9P9	0.8344310015495656			
RPS4X	0.834225398308548			
IL18	0.8337042792308573			
EIF4A1P10	0.8336833560827345			
SMIM20	0.8333813965129794			
SERF2	0.8331758317693261			
RPL17	0.83271657827882			
NDUFB5	0.8312529912417217			
ZCRB1	0.8309400633236972			
MORN2	0.8292943127204624			
RPL29	0.8292701083204185			
PRR11	0.8291507248534827			
C2orf49	0.828868713016787			
RPL31	0.8286480821514584			
MIB2	0.8285966378349806			
YAF2	0.8283951765957585			
NEURL3	0.8281224841460585			
TRPS1	0.8273395529835936			
NECAB1	0.8273217566727896			
NUCKS1	0.8272739285612484			
ZNF428	0.8271791531703967			
EPB41L5	0.8269653255625514			
RPL27	0.8267642791065846			
KLF3	0.8267548653374249			
FAM177A1	0.8263983148466111			
CD300E	0.8262018489317269			
RPL7	0.8260169642175325			
MIIP	0.8257064896647675			
U2AF1L4	0.8243075766429697			
AD000671.1	0.8240734934395761			
ANAPC1	0.8239445981510697			
EVA1B	0.8235979896662659			
COMTD1	0.8235274545256878			
MRPS21	0.8229612462348846			
PTS	0.8218324699028708			
NDUFA12	0.8217812194339152			
ARPC3	0.8217332391815043			
POLR3D	0.8210776503420989			
PRR34	0.8197597465605466			
TOMM7	0.8193938728134688			
SLIRP	0.8192012383963723			
IFNL1	0.8188784421943265			
SLC12A4	0.8176037463474021			
TIMP1	0.8174889897845955			
RPS8	0.8169492246442943			
CTSA	0.8169104410303653			
TPT1	0.8165376696819285			
GFOD1	0.8164434120786046			
YIPF4	0.8162783440505977			
AL139260.3	0.8161867153213526			
ZRANB3	0.8161149957521668			
ACYP1	0.8153629668427135			
DDIT3	0.8152495517646211			
PFDN5	0.8151063499877237			
AIG1	0.8148904246450547			
RPS5	0.8143719803462415			
CXCL1	0.814063983998659			
MFSD12	0.8139577293114005			
SLC43A1	0.8138834111609801			
NEDD9	0.8136859241819279			
RPL30	0.813591944958652			
TMSB10	0.8132440830094468			
PRDX6	0.8132111175245788			
PMAIP1	0.8131530228943195			
RPS21	0.812993661637654			
FHL2	0.8127231544568029			
COMMD3	0.8126355330148819			
RPS11	0.8113353654597137			
RABGGTB	0.810660444635139			
RAC1	0.8103199806244672			
