Gene Set	Score	0.95 MoE	P-Value	FDR
PIK3CA.Breast_HMLE.24_UP	0.7795987136911061	0.16880139335046354	0.012162162162162163	0.9885135135135135
MEKdd.Skin_PMEL.24_DN	0.6703707291381079	0.16346487198800813	0.025675675675675677	0.9816326530612245
PIK3CA.Skin_PMEL.Weeks_UP	0.6214857290173094	0.2541734117758657	0.04256756756756757	0.9712328767123287
KRAS.18_UP	0.5546739108949489	0.16941324131950605	0.06824324324324324	0.9524137931034482
KRAS.Lung_SALE.18_UP	0.5546739108949489	0.16941324131950605	0.06824324324324324	0.9524137931034482
PIK3CA.Skin_PMEL_DN	0.5506127569056566	0.167572802652998	0.06959459459459459	0.9524137931034482
ETV1.Breast_HMLE.24_DN	0.5015720152990694	0.1686377694902749	0.08986486486486486	0.9492957746478874
AKT1.Lung_SALE.24_DN	0.46138955783626906	0.2572607159791079	0.10202702702702703	0.9432624113475178
ETV1.Lung_SALE_UP	0.3979803806554785	0.2589201113778507	0.13648648648648648	0.9135714285714286
MEKdd.Lung_SALE.Weeks_DN	0.3952869059658602	0.19323530559252525	0.13783783783783785	0.9135714285714286
PIK3CA.Skin_PMEL.24_UP	0.3949828944699798	0.20423301134262142	0.13851351351351351	0.9135714285714286
MEKdd.Lung_SALE.24_DN	0.3537790345999944	0.3192801354775962	0.16486486486486487	0.9029197080291971
PIK3CA.Lung_SALE.24_DN	0.3535494372044398	0.2189083201332458	0.16689189189189188	0.9029197080291971
ETV1.Lung_SALE.Weeks_UP	0.29310806725763827	0.16125717984444485	0.21283783783783783	0.8637037037037036
MEKdd.Skin_PMEL_DN	0.29103748033551385	0.25069060916367497	0.21486486486486486	0.8637037037037036
PIK3CA.Skin_PMEL_UP	0.28592369622407326	0.22475625044884398	0.21891891891891893	0.8637037037037036
KRAS.Breast_HMLE.24_DN	0.2772145647982961	0.25082764058963225	0.23243243243243245	0.8613636363636363
MEKdd.Breast_HMLE.Weeks_UP	0.2523197744228267	0.249116037672754	0.26216216216216215	0.8343511450381679
BRAF.Breast_HMLE.24_DN	0.2503604573729547	0.23161118086293353	0.2635135135135135	0.8343511450381679
AKT1.Breast_HMLE.24_DN	0.22842295629082338	0.2622070683153859	0.2851351351351351	0.8209302325581395
MEKdd.Lung_SALE_DN	0.195963186044446	0.1990976802753747	0.31283783783783786	0.7953124999999999
PIK3CA.Breast_HMLE_UP	0.1808809720213156	0.225761286856686	0.327027027027027	0.7850393700787401
BRAF.Skin_PMEL_DN	0.17245519499391335	0.33606854258444835	0.33918918918918917	0.776984126984127
MEKdd.24_UP	0.156852658631771	0.24756401840832837	0.3506756756756757	0.7696
BRAF.Skin_PMEL.Weeks_UP	0.1565033864909746	0.3228775675217699	0.35202702702702704	0.7696
AKT1.Weeks_UP	0.1538449391205899	0.18592790902008965	0.3567567567567568	0.7696
ETV1.Lung_SALE.24_DN	0.10448677494093131	0.24064733629875307	0.4263513513513513	0.6967213114754098
KRAS.Skin_PMEL.24_DN	0.10191764077027543	0.22078587491022011	0.43243243243243246	0.6950413223140497
AKT1.Skin_PMEL.Weeks_UP	0.10052039091980088	0.2064484906651042	0.4331081081081081	0.6950413223140497
BRAF.Lung_SALE.24_DN	0.09278493525377765	0.2360820261373132	0.44932432432432434	0.6857142857142857
KRAS.24_DN	0.07787030952917168	0.27723093804732124	0.47162162162162163	0.6635593220338983
ETV1.Breast_HMLE_DN	0.05523755248308249	0.21218022513904372	0.4918918918918919	0.6435897435897435
ETV1.Breast_HMLE.24_UP	0.039958028740153806	0.22588560325143653	0.49864864864864866	0.6405172413793104
BRAF.Breast_HMLE.24_UP	0.03956208235729448	0.2439506133059472	0.49932432432432433	0.6405172413793104
ETV1.24_DN	0.03735007131791256	0.22195282520989057	0.5	0.6405172413793104
MEKdd.Skin_PMEL.Weeks_DN	0.018818106287575374	0.309733541757628	0.49324324324324326	0.6405172413793104
ETV1_DN	0.011233743947625295	0.23882141978682764	0.4918918918918919	0.6405172413793104
PIK3CA.24_UP	-0.006552623501467674	0.23689736659771005	0.48986486486486486	0.6405172413793104
MEKdd.24_DN	-0.02241553931610037	0.2281469240136281	0.4851351351351351	0.6405172413793104
PIK3CA.Weeks_UP	-0.058118131325930245	0.29697158278477553	0.4648648648648649	0.6311926605504588
ETV1.Breast_HMLE_UP	-0.06651725027918268	0.21878850009122883	0.4581081081081081	0.6277777777777778
BRAF.Weeks_UP	-0.08523093337065656	0.1935809991580742	0.44797297297297295	0.619626168224299
