Gene Set	C_1_tpm	C_2_tpm	C_3_tpm	VS_1_tpm	VS_2_tpm	VS_3_tpm
AKT1.24_DN	10079.430674083305	10165.547823968398	10052.418379155188	10033.970164810069	10137.420390123734	10033.99423057217
AKT1.24_UP	9925.47538943907	10181.110956012948	10037.390428717223	9828.58948091149	9934.645264712377	9819.62804582124
AKT1.Breast_HMLE.24_DN	11050.467746818069	11001.620590162222	11016.587875618008	11066.009608904602	11086.758295703616	10956.027375250327
AKT1.Breast_HMLE.24_UP	11589.73688745746	11599.75232677981	11760.003011826164	11462.63231113901	11528.019153785961	11371.590238474384
AKT1.Breast_HMLE_DN	10494.19179490228	10387.12647784753	10445.948438858059	10428.365437992985	10279.527258330516	10304.660545941028
AKT1.Breast_HMLE_UP	11447.658256611285	11601.427019978899	11423.429806542681	11257.69840075894	11460.245186066426	11337.741338455502
AKT1.Lung_SALE.24_DN	11762.340610936284	11926.761610085432	11875.81486338019	11919.985614324409	12028.151030100842	11908.999295595948
AKT1.Lung_SALE.24_UP	9454.754844232162	9216.822733902518	9277.628379253483	9165.069929641511	9142.21963587656	9085.721855410226
AKT1.Lung_SALE.Weeks_DN	12248.332875603026	12215.117162418353	12152.073444558697	12033.702627017923	12135.491772641604	12195.07545176005
AKT1.Lung_SALE.Weeks_UP	9019.213540145964	8239.070778003737	8277.551836487803	8399.413846485448	8378.64156245401	8442.701372427486
AKT1.Lung_SALE_DN	10650.304723404564	10359.248237953576	10714.426058938316	10463.376555225237	10759.847139822108	10482.14548237799
AKT1.Lung_SALE_UP	9468.685805382684	9054.950917639797	9019.090779616286	9034.778771084888	9064.079481064085	8830.590046705382
AKT1.Skin_PMEL.24_DN	11422.084422024489	11348.204054099719	11424.392960739038	11005.061910286164	11186.282711513271	11068.07035770944
AKT1.Skin_PMEL.24_UP	12531.476732766503	12391.596677336503	12500.474998485799	12258.513528782601	12389.099077711688	12418.157340680917
AKT1.Skin_PMEL.Weeks_DN	13930.661590386224	14125.299508467413	14132.708205415518	13816.562795583504	14089.18290924768	13966.862687320085
AKT1.Skin_PMEL.Weeks_UP	11657.563246664062	11579.046255364392	11635.404143147975	11591.71323670956	11684.808142430864	11596.552261380048
AKT1.Skin_PMEL_DN	11334.737862756137	11184.740216256274	11095.29605685159	10777.159967220157	11009.690086165392	11115.238137027349
AKT1.Skin_PMEL_UP	11756.173314121932	11762.141000520565	11964.707434092597	11804.481105292492	11658.593678082092	11714.881674040678
AKT1.Weeks_DN	10524.781470241616	10398.073902885464	10441.983093388475	10420.939668907195	10335.128470502414	10334.860658495365
AKT1.Weeks_UP	12491.332915628456	12368.756886618678	12534.194139442718	12421.602457209008	12641.290213968303	12486.068165716615
AKT1_DN	10034.499861434304	9995.50878774313	10149.021013526828	10100.548472127257	10070.871127206308	9903.049916674261
AKT1_UP	11824.117687909906	11751.547197878832	11758.131674516017	11725.646866431194	11788.827957550626	11614.697924263131
BRAF.24_DN	10547.384053251422	10390.6833543161	10358.009092987219	10384.805394480436	10541.017182581018	10248.493451195454
BRAF.24_UP	10444.582767139926	10338.78782690315	10550.110634377292	10161.767434754642	10535.120349415407	10277.003572481823
BRAF.Breast_HMLE.24_DN	10882.634796703474	10644.227658238087	10763.532239920729	10902.071469455732	10886.268502922636	10754.67072847981
BRAF.Breast_HMLE.24_UP	11905.177947679089	11627.916679339894	11806.57378143965	11678.411354636108	11880.366752642074	11797.779952931665
BRAF.Breast_HMLE_DN	10578.272707857112	10385.26680196678	10416.525786959366	10462.049525515375	10465.406936532954	10406.736718745724
BRAF.Breast_HMLE_UP	11594.719861354843	11271.828338969875	11256.592446324983	11069.650473881738	11402.081316880958	11327.00353420383
BRAF.Lung_SALE.24_DN	13103.591601791928	13084.377043061993	12933.136103026172	13030.872854977071	12977.889826699431	13127.625201602523
BRAF.Lung_SALE.24_UP	10506.969997366154	10055.406597219011	10267.960140955443	10103.713461790547	10357.759806482616	10235.486812460658
BRAF.Lung_SALE.Weeks_DN	11029.035304759735	10722.76234749936	10868.49258090539	10556.681811413864	10542.735536586557	10611.411681393098
BRAF.Lung_SALE.Weeks_UP	9442.78913986462	9041.678122031999	9179.17987601636	8929.898136968715	9247.705212527635	9109.016518938177
BRAF.Lung_SALE_DN	11599.54287258299	11581.632703480183	11471.44593263031	11512.284405589411	11452.902469217517	11605.694654348219
BRAF.Lung_SALE_UP	10614.750128426618	10591.813959666906	10622.861859260003	10521.365602345782	10672.641131921437	10494.899529624332
BRAF.Skin_PMEL.24_DN	12830.901569683538	12858.306487498194	12787.392653022822	12745.98569103444	12608.85066412153	12892.852197679262
BRAF.Skin_PMEL.24_UP	10721.525188899737	10694.140492411721	10669.63186681292	10642.3078492024	10650.512253893115	10635.88297025141
BRAF.Skin_PMEL.Weeks_DN	14324.813854448392	14330.965762420472	14260.346274376432	14188.011940868548	14208.265879948154	14259.061078169501
BRAF.Skin_PMEL.Weeks_UP	10553.031639005581	10424.85531479466	10492.579803757913	10479.659742005231	10514.934514220775	10498.353493520772
BRAF.Skin_PMEL_DN	11536.826329270722	11937.878308675936	11770.416816321826	11755.784617400892	11781.100409335566	11746.11406394968
BRAF.Skin_PMEL_UP	11225.011780924151	11108.252519179672	11168.847029778293	11216.22402945375	11100.95029475735	11124.611293941694
BRAF.Weeks_DN	9313.709334088304	9038.657816856805	9114.111507769945	9002.27093153539	8857.867887501649	8851.309915865935
BRAF.Weeks_UP	11455.682148748805	11569.10206532672	11393.857008600145	11509.865765874718	11389.904304105761	11444.208357103831
BRAF_DN	10327.52392616095	10468.876937536397	10220.78198129915	10181.656904110425	10146.850137117508	10226.352796079285
BRAF_UP	10945.91864224864	10721.10101374518	10707.172383257042	10634.001990861616	10709.826040356138	10669.149227565926
ETV1.24_DN	6795.350069727209	6950.960285664168	7264.549935255903	7019.097513617568	7276.76987228861	6771.1937199419635
ETV1.24_UP	7682.358212775853	7484.733225681515	7660.883548758781	7576.08334131242	7422.181945991736	7206.334167180125
ETV1.Breast_HMLE.24_DN	9601.113480393955	9593.356301968077	9790.365601178708	9860.098304494773	9712.401448628623	9857.224870081916
ETV1.Breast_HMLE.24_UP	10150.705904888806	10360.438876542561	10576.795431776125	10427.339590776803	10646.825723972872	10215.659561206097
ETV1.Breast_HMLE.Weeks_DN	11275.402804368754	11124.01213640966	11145.437935709022	11150.985268388102	11047.645168186136	11174.002816663295
ETV1.Breast_HMLE.Weeks_UP	11677.605606142772	11614.163684645657	11669.73896459112	11704.03279856248	11566.892014073339	11645.869549949672
ETV1.Breast_HMLE_DN	10569.106869928626	10373.530804155998	10548.451215021503	10354.292711045535	10563.398646906853	10624.641305275962
ETV1.Breast_HMLE_UP	10136.420522397442	10202.19206545495	10385.232091085616	10159.199289844555	10400.33078554715	10084.24741832941
ETV1.Lung_SALE.24_DN	12455.744040323954	12463.619980855947	12208.093053031524	12310.84787797426	12545.766439739471	12454.415451580626
ETV1.Lung_SALE.24_UP	10732.950800074355	10629.060660638557	10863.009734408482	10612.850159743015	10709.570460446726	10651.40594690436
ETV1.Lung_SALE.Weeks_DN	12388.174741402374	12142.635487326486	12262.269199094353	12341.90953817317	12165.456246819625	12149.848568914273
ETV1.Lung_SALE.Weeks_UP	9641.347666208301	9540.757321619321	9819.922219314165	9655.226704253253	10270.734178530196	9684.801162375314
ETV1.Lung_SALE_DN	10164.340480926585	10012.98102778065	10100.991642489145	10068.424697964027	10125.381572544162	9992.603604969283
ETV1.Lung_SALE_UP	9017.32629067524	9237.644614523064	9373.281602003904	9562.839436999277	9539.455891552901	9185.6375219645
ETV1.Skin_PMEL.24_DN	11400.732390034154	11034.548229942597	11231.803447076745	10928.767778322777	10916.833674446903	10986.958846870908
ETV1.Skin_PMEL.24_UP	11085.917060479882	11068.840722674222	11170.039665348557	11155.637957400686	10984.093385951921	10909.343708750943
ETV1.Skin_PMEL_DN	11400.732390034154	11034.548229942597	11231.803447076745	10928.767778322777	10916.833674446903	10986.958846870908
ETV1.Skin_PMEL_UP	11085.917060479882	11068.840722674222	11170.039665348557	11155.637957400686	10984.093385951921	10909.343708750943
ETV1.Weeks_DN	10818.840155506974	10850.681679898547	10933.383398628252	10761.337717251956	10768.00611898318	10721.816503147294
ETV1.Weeks_UP	8894.633552491023	8878.593445376759	9138.191817687992	8802.51655277795	9345.95858978142	8736.215024410414
ETV1_DN	8396.748352463092	8144.674933906777	8430.099286936405	8442.143294507621	8421.009422073317	8163.693479586848
ETV1_UP	8407.35112373532	8467.853845326816	8623.718768245082	8513.69356272761	8403.787974213781	8279.160988331852
KRAS.12_DN	11118.24990210342	10947.062880503518	11064.250512624543	10905.525271514558	10979.143688877308	10728.904426628707
KRAS.12_UP	10889.16062168545	11131.817320344202	10761.25544651961	10832.152166821043	10884.238761982142	10801.047759820198
KRAS.18_DN	10829.637156211726	11156.880614238897	11089.18545992422	10926.034401485971	10883.656553763232	10999.447692271886
KRAS.18_UP	11459.119251643933	11300.497174562955	11506.284651070766	11683.607050385912	11720.634660183787	11431.05480619127
KRAS.24_DN	7682.19566965801	7870.880534276216	7926.995875828712	7721.6781923317	8008.376788364053	7823.099391753158
KRAS.24_UP	9213.710868059345	9230.278576261195	9083.959077095036	8787.11082449145	9005.39399524922	8988.688128667027
KRAS.36_DN	10528.491055353847	10388.603682214194	10469.271559210187	10328.77421203384	10201.41630058426	10294.191601961631
KRAS.36_UP	11648.500175491154	11556.263155139233	11621.149917035294	11447.892703934525	11682.73574531788	11520.280860997556
KRAS.Breast_HMLE.24_DN	10470.705340364868	10129.091307092076	10421.275692342391	10525.030385987726	10445.416277565977	10361.937895957173
KRAS.Breast_HMLE.24_UP	10139.998082917431	10392.519070866912	10563.75124675045	10204.162154804651	10235.001749856427	10049.684721107324
KRAS.Breast_HMLE.Weeks_DN	11096.689800162516	10986.980437368438	10936.909397511141	10913.188285266717	10926.116059461725	11050.711721178395
KRAS.Breast_HMLE.Weeks_UP	13295.040443220905	13214.596331724779	13108.856041928537	13045.36679917492	13052.96863595869	12979.56795366779
KRAS.Breast_HMLE_DN	10046.487902341347	9525.594176415196	9658.754150753142	9761.920039011493	9675.490687335458	9608.21630701755
KRAS.Breast_HMLE_UP	10579.834272665741	10665.943430266445	10468.435114977663	10288.290182276307	10450.300563016799	10225.356113562126
KRAS.Lung_SALE.12_DN	11108.367323982631	10935.339417820021	11053.481694668531	10895.731997344934	10969.717618532526	10720.262485112251
KRAS.Lung_SALE.12_UP	10889.16062168545	11131.817320344202	10761.25544651961	10832.152166821043	10884.238761982142	10801.047759820198
KRAS.Lung_SALE.18_DN	10829.637156211726	11156.880614238897	11089.18545992422	10926.034401485971	10883.656553763232	10999.447692271886
KRAS.Lung_SALE.18_UP	11459.119251643933	11300.497174562955	11506.284651070766	11683.607050385912	11720.634660183787	11431.05480619127
KRAS.Lung_SALE.24_DN	12373.640199542673	12336.299535519716	12429.991053696254	12437.342920515473	12446.208052448634	12101.224242293241
KRAS.Lung_SALE.24_UP	10846.81408488618	10714.781092978112	10774.407805510878	10544.113444481463	10694.649658705066	10594.239024774815
KRAS.Lung_SALE.36_DN	10528.491055353847	10388.603682214194	10469.271559210187	10328.77421203384	10201.41630058426	10294.191601961631
KRAS.Lung_SALE.36_UP	11615.161472055577	11520.507316798192	11587.31054115856	11447.76058470377	11642.386627679942	11483.77390232492
KRAS.Lung_SALE.Weeks_DN	11598.320245453284	11375.923978787563	11362.639838264748	11191.974469373961	11200.94794294451	11236.550568288192
KRAS.Lung_SALE.Weeks_UP	9129.930222135934	9039.886531877066	9152.828047053586	9014.61781413135	9106.488115130576	9074.446129934493
KRAS.Lung_SALE_DN	11476.529079758095	11367.40614351715	11218.805531188247	11192.155386188191	11203.781778370776	11081.696379120462
KRAS.Lung_SALE_UP	11060.709562371618	10892.429905193905	10877.800530940798	10748.542197589977	10898.808594426639	10853.368966500733
KRAS.Skin_PMEL.24_DN	11263.963918462267	11065.092913498676	11231.256223260023	11151.84092174223	11303.76013230284	11115.417869088915
KRAS.Skin_PMEL.24_UP	10779.231377491664	10667.249769576067	10956.765538145291	10669.836676853965	10674.755735441653	10706.45557522601
KRAS.Skin_PMEL.Weeks_DN	14474.798147133319	14398.540559976229	14479.42151274743	14428.93497059302	14436.451684523445	14368.619455583743
KRAS.Skin_PMEL.Weeks_UP	10871.351573982905	10888.946847788817	10891.015920964986	10873.50621733532	10868.656389558719	10840.170661853623
KRAS.Skin_PMEL_DN	10090.55173997696	10042.912265869027	9986.487778044724	10004.762200440438	10002.215131738165	10042.103705597165
KRAS.Skin_PMEL_UP	10086.450323223184	9653.13294844537	9849.444007124162	9687.29503694694	9851.666489949925	9868.531269073646
KRAS.Weeks_DN	9783.008290981881	9771.738328324842	9623.725500224396	9596.437402398467	9580.953746935704	9449.859056095416
KRAS.Weeks_UP	11268.697713275556	11229.716622629905	11302.913256582418	11169.463369016534	11185.1317033999	11113.866845571807
KRAS_DN	8974.959595078679	8715.534873477798	8879.749935062895	8731.971166571626	8742.519635018214	8720.83859025495
KRAS_UP	11184.719523343128	11107.400322715084	11234.06476578294	10989.853116747117	11122.024974664037	10949.12294787283
MEKdd.24_DN	8812.042220396112	9030.419142909064	8727.967829600579	8990.82842119703	8791.351402377059	8767.243125743253
MEKdd.24_UP	9281.06972864387	9219.357479749897	8927.635930544413	9374.319631870952	9388.397459649654	8996.445405286826
MEKdd.Breast_HMLE.24_DN	10958.774310900264	10786.105524318182	11043.375951324992	10895.567602587582	10917.934159718729	10948.11128588951
MEKdd.Breast_HMLE.24_UP	9322.040032058427	9413.47552504006	9217.036459787965	9440.359681495675	9135.82916931055	9105.353290709283
MEKdd.Breast_HMLE.Weeks_DN	11238.07188691736	10961.528029923613	11119.443733184951	11076.857321659389	11143.789557885211	11043.39543885736
MEKdd.Breast_HMLE.Weeks_UP	12621.064665501488	12367.156514938511	12412.063158162722	12449.201487825312	12604.598311785921	12509.924424456336
MEKdd.Breast_HMLE_DN	11252.537447655614	11053.447313242325	11173.24980570099	10978.834239659382	10952.375748784134	11131.782677696381
MEKdd.Breast_HMLE_UP	10028.327130905529	9950.324398667386	9887.152569344564	9769.099525785767	10052.797893178647	9769.344480713235
MEKdd.Lung_SALE.24_DN	13163.981775574537	12988.944434267676	12859.859009899017	13094.327390604878	13057.619579775974	13037.010550733066
MEKdd.Lung_SALE.24_UP	10659.016118223059	10445.091635020553	10435.38317277881	10380.607158640056	10344.632820639412	10276.453006661575
MEKdd.Lung_SALE.Weeks_DN	11609.5150463948	11543.016978142425	11763.070201231092	11748.181544847448	11651.963868379462	11699.233989513827
MEKdd.Lung_SALE.Weeks_UP	8782.00307303347	8481.638928971905	8652.527678235723	8613.247459004502	8636.00788915753	8310.325749868589
MEKdd.Lung_SALE_DN	11104.867767482974	11024.22872284569	11199.78243926266	11111.448464104205	11114.492878969042	11184.318871981895
MEKdd.Lung_SALE_UP	10080.42493228657	9627.797000704557	9795.664836151791	9403.923333974246	9738.79531856331	9476.864978427586
MEKdd.Skin_PMEL.24_DN	11219.174613366611	11232.754155095437	11282.735963360008	11464.40071458897	11366.169491877577	11290.531458668956
MEKdd.Skin_PMEL.24_UP	10426.551430025957	10322.762804089685	10347.543348647241	10229.804066592733	10351.384489192635	10178.85621887568
MEKdd.Skin_PMEL.Weeks_DN	14526.193658126744	14615.735453379175	14603.367986123318	14532.452118293562	14596.811083429326	14619.759661755737
MEKdd.Skin_PMEL.Weeks_UP	11302.344353994493	10969.879937037342	11033.434340793767	11156.334266299604	10956.305549051343	11012.131498226838
MEKdd.Skin_PMEL_DN	9386.12912588923	9530.127421975414	9720.705741461534	9785.986121289836	9859.79686369897	9495.53401407079
MEKdd.Skin_PMEL_UP	9811.50385837449	9672.042142089684	9837.22116846073	9672.038205806077	9822.944640792024	9553.735707679361
MEKdd.Weeks_DN	11055.62111981337	11127.438462008748	11120.849918507614	10995.281354250874	11089.87966803263	10977.392106475107
MEKdd.Weeks_UP	10459.814425495684	10387.56804691697	10423.416004848264	10297.687919206015	10344.298357453054	10223.649153748847
MEKdd_DN	11884.072788267908	11845.57359908244	11875.675721280957	11665.067768139701	11719.395259210767	11729.086125377162
MEKdd_UP	10045.683690596492	9715.414416256692	9882.470493351957	9629.613862116452	9826.753978937142	9539.677064080566
PIK3CA.24_DN	8259.114760927574	8182.649407370422	8516.150876551717	8234.261953542245	8350.929585264787	8271.019486788851
PIK3CA.24_UP	8142.316645882428	8624.598155547455	8298.20156901361	8277.253145976996	8590.272243707404	8128.405930994532
PIK3CA.Breast_HMLE.24_DN	9262.38844555582	9395.666851350068	9511.484732342304	9247.869355798448	9321.699693788103	9202.443120441683
PIK3CA.Breast_HMLE.24_UP	9783.512207567966	9737.409865116608	9741.360894306868	9800.041450783327	9837.818747203899	9812.68056051489
PIK3CA.Breast_HMLE_DN	9522.90778923144	9738.319603334883	9809.14931355644	9623.486671957742	9807.116872648621	9602.983412262509
PIK3CA.Breast_HMLE_UP	9292.075856237267	9276.61392940858	9093.592507752555	9137.830929920492	9488.149500011003	9219.720314359209
PIK3CA.Lung_SALE.24_DN	11544.055388899907	11484.939964582894	11558.773466358873	11472.13471871751	11664.528375060238	11591.492107887525
PIK3CA.Lung_SALE.24_UP	10404.06200401131	10280.539824103409	10173.570848682115	10202.868478739909	9994.295065330174	10024.546660124133
PIK3CA.Lung_SALE.Weeks_DN	10686.397985594507	10494.52242095251	10498.598297511997	10559.964564482663	10480.463329604792	10481.879640910589
PIK3CA.Lung_SALE.Weeks_UP	11252.851260965646	11483.316327347613	11192.850873927826	10920.288220371329	11188.905757900708	10970.100898586903
PIK3CA.Lung_SALE_DN	9240.210763013181	8821.589487207335	8915.69059926025	8820.321522974975	8912.84178226894	8858.370098288522
PIK3CA.Lung_SALE_UP	11129.00636441232	11063.063013186555	11142.41619428487	10962.68076228102	10878.592854835679	10982.572346036246
PIK3CA.Skin_PMEL.24_DN	10483.542083499919	10669.339685830188	10966.664830633928	10447.604094282224	10755.476754394962	10660.905954320127
PIK3CA.Skin_PMEL.24_UP	10461.80251125286	10428.753788440777	10707.523052557386	10558.929085697971	10598.166091209707	10596.422602701388
