Gene Set	Score	0.95 MoE	P-Value	FDR
SRC_UP.V1_UP	0.8264297010554004	0.18136212671831636	0.005291005291005291	0.9500000000000001
YAP1_DN	0.7897406456605136	0.15369049400599616	0.010052910052910053	0.9500000000000001
CRX_NRL_DN.V1_DN	0.6307508236812203	0.16204635713929852	0.04126984126984127	0.9695187165775401
ATM_DN.V1_UP	0.6238410589120921	0.15638442445136422	0.04338624338624339	0.9695187165775401
GCNP_SHH_UP_EARLY.V1_DN	0.6103644816847099	0.17931589770825143	0.046031746031746035	0.9695187165775401
PRC2_SUZ12_UP.V1_UP	0.5817387055597008	0.15870374486159788	0.05767195767195767	0.9684782608695652
CAHOY_OLIGODENDROCUTIC	0.5408602083749375	0.1692162968741057	0.06878306878306878	0.9622950819672131
KRAS.50_UP.V1_DN	0.5277302067293179	0.1630502625637995	0.07089947089947089	0.9622950819672131
PTEN_DN.V2_DN	0.5122369337069178	0.168775063041739	0.07883597883597884	0.9622950819672131
PRC2_EZH2_UP.V1_UP	0.4965018260154612	0.24245367754151637	0.08677248677248678	0.9594444444444445
DCA_UP.V1_UP	0.49582923704661186	0.1604632787063108	0.0873015873015873	0.9594444444444445
GLI1_UP.V1_UP	0.48459461676082777	0.22968289124245522	0.0962962962962963	0.9594444444444445
BRCA1_DN.V1_UP	0.4839420804186409	0.17527076404149863	0.09788359788359788	0.9594444444444445
CAHOY_NEURONAL	0.4799718582500464	0.17057618762188367	0.09947089947089947	0.9594444444444445
RAPA_EARLY_UP.V1_DN	0.4516422267262125	0.25101568079711295	0.10899470899470899	0.9594444444444445
MEL18_DN.V1_DN	0.3664611476000659	0.1731845163431725	0.14708994708994708	0.9270114942528737
BCAT.100_UP.V1_DN	0.36028418551943886	0.2436410164991163	0.1529100529100529	0.9260115606936415
IL21_UP.V1_DN	0.3489185351934317	0.24622331965459812	0.16243386243386243	0.9209302325581397
PRC2_EED_UP.V1_DN	0.34676278671904676	0.17631148994486648	0.164021164021164	0.9209302325581397
STK33_DN	0.3306013315182729	0.19895968122800467	0.17407407407407408	0.9188235294117647
CRX_DN.V1_DN	0.30851732058418735	0.20542512460415926	0.18783068783068782	0.9088757396449704
DCA_UP.V1_DN	0.3078340395274497	0.3065480963304879	0.18835978835978837	0.9088757396449704
BCAT_GDS748_DN	0.28930226029002837	0.23610823452099156	0.20264550264550266	0.9029940119760479
P53_DN.V1_DN	0.2886525485432512	0.18862203715405443	0.20317460317460317	0.9029940119760479
RB_P107_DN.V1_UP	0.24577884298545552	0.20201684912442	0.24708994708994708	0.863030303030303
KRAS.AMP.LUNG_UP.V1_DN	0.23980002048707189	0.186172568018626	0.25343915343915346	0.8609756097560977
KRAS.KIDNEY_UP.V1_UP	0.23962938295424788	0.2469092278757058	0.2544973544973545	0.8609756097560977
NRL_DN.V1_DN	0.23124611296354458	0.2465561056872781	0.26825396825396824	0.8543209876543211
PIGF_UP.V1_UP	0.2239291083675	0.25114820953226097	0.2783068783068783	0.8478260869565217
ESC_V6.5_UP_EARLY.V1_UP	0.21996284911753017	0.25465239682130053	0.28095238095238095	0.8478260869565217
YAP1_UP	0.21308460088913814	0.2656671819632108	0.2857142857142857	0.8478260869565217
MTOR_UP.N4.V1_DN	0.21007654254323146	0.23499560530010682	0.2878306878306878	0.8478260869565217
CTIP_DN.V1_UP	0.1995860243742676	0.33326488852682845	0.30158730158730157	0.8414012738853504
EGFR_UP.V1_DN	0.19466881293062024	0.1817807470768018	0.30846560846560844	0.8384615384615385
CSR_EARLY_UP.V1_DN	0.19167092288714174	0.1944036598765229	0.31322751322751324	0.8380645161290322
KRAS.LUNG_UP.V1_UP	0.19071921384151536	0.21282377778111944	0.319047619047619	0.8363636363636364
CYCLIN_D1_KE_.V1_DN	0.18837565651169366	0.31782116539212935	0.3201058201058201	0.8363636363636364
BCAT_BILD_ET_AL_UP	0.18529220651301787	0.17536223885374352	0.32645502645502644	0.8363636363636364
PRC1_BMI_UP.V1_UP	0.17984280199542976	0.2789951527517106	0.33386243386243386	0.8344370860927152
STK33_SKM_UP	0.17788149174566115	0.2543267476180689	0.33650793650793653	0.8344370860927152
KRAS.600.LUNG.BREAST_UP.V1_UP	0.1682977918006369	0.20240870028734834	0.3492063492063492	0.8261744966442953
RB_P130_DN.V1_UP	0.16674359743545095	0.23739723594069187	0.353968253968254	0.8256756756756757
NFE2L2.V2	0.16015372366362357	0.2523720757876278	0.373015873015873	0.8068027210884353
MEK_UP.V1_DN	0.15144150335216303	0.26874876122055885	0.38994708994708993	0.7904109589041096
RB_DN.V1_DN	0.14607078609194787	0.31673003687163404	0.3952380952380952	0.7889655172413793
P53_DN.V2_DN	0.14428718014505568	0.1924002039082813	0.3962962962962963	0.7889655172413793
GLI1_UP.V1_DN	0.1274124801019873	0.2616326012077323	0.4126984126984127	0.7769230769230769
GCNP_SHH_UP_LATE.V1_UP	0.11149836387984885	0.2700675180917163	0.4306878306878307	0.7584507042253521
