Gene Set	Score	0.95 MoE	P-Value	FDR
HALLMARK_TGF_BETA_SIGNALING	0.7125894115408242	0.1784771065133125	0.024	0.8
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.6273330554383076	0.16711398580166942	0.036	0.8
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.5906607350815307	0.1714544524955876	0.048	0.8
HALLMARK_COMPLEMENT	0.3755189922163634	0.3118153287808303	0.14	0.9170212765957447
HALLMARK_NOTCH_SIGNALING	0.36406905624989866	0.24483527091888352	0.15	0.9170212765957447
HALLMARK_XENOBIOTIC_METABOLISM	0.33443178979801014	0.19316621774043669	0.178	0.9155555555555555
HALLMARK_PANCREAS_BETA_CELLS	0.26757385155627755	0.17041999008204434	0.24	0.865909090909091
HALLMARK_PEROXISOME	0.25715006610515084	0.2503771217363169	0.252	0.865909090909091
HALLMARK_APICAL_SURFACE	0.23712647949317264	0.2945390191156418	0.284	0.8547619047619047
HALLMARK_HEME_METABOLISM	0.2306039986148819	0.21904750807527384	0.3	0.8547619047619047
HALLMARK_DNA_REPAIR	0.1596646167733675	0.29128977012649376	0.4	0.7525
HALLMARK_IL2_STAT5_SIGNALING	0.14439635400127637	0.25264067244919136	0.416	0.7512820512820512
HALLMARK_PROTEIN_SECRETION	0.11355288066559674	0.3127336759907002	0.434	0.7473684210526315
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.05537300210897195	0.24815501892249112	0.474	0.7135135135135136
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.01932336646661404	0.25917299760523965	0.49	0.7111111111111111
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.049870186769030996	0.20035964986429156	0.484	0.6914285714285715
HALLMARK_INFLAMMATORY_RESPONSE	-0.06068131254420997	0.25997209541372035	0.474	0.6914285714285715
HALLMARK_BILE_ACID_METABOLISM	-0.06178733225337441	0.2277551073821139	0.472	0.6914285714285715
HALLMARK_ESTROGEN_RESPONSE_LATE	-0.08846738638434573	0.277636648227473	0.462	0.6914285714285715
HALLMARK_ADIPOGENESIS	-0.09345837131481341	0.24153777892127543	0.456	0.6914285714285715
HALLMARK_COAGULATION	-0.10642475244384107	0.2573303652421159	0.432	0.6914285714285715
HALLMARK_APOPTOSIS	-0.11918986023472826	0.2635266519299267	0.412	0.6914285714285715
HALLMARK_GLYCOLYSIS	-0.1726048822946347	0.23029369898617977	0.37	0.6607142857142857
HALLMARK_APICAL_JUNCTION	-0.18271668584559372	0.22463845582644693	0.364	0.6607142857142857
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.20938050701803795	0.3113114222668568	0.33	0.6346153846153846
HALLMARK_ANDROGEN_RESPONSE	-0.22964049968065675	0.20145842953269583	0.304	0.608
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.2353160019319072	0.2848700989880678	0.292	0.608
HALLMARK_FATTY_ACID_METABOLISM	-0.25627197461663703	0.32682580743892065	0.282	0.608
HALLMARK_MYOGENESIS	-0.2718345790542755	0.2725430136077675	0.262	0.5954545454545455
HALLMARK_KRAS_SIGNALING_DN	-0.27418562787617506	0.21231842893919262	0.258	0.5954545454545455
HALLMARK_HYPOXIA	-0.27906102573166514	0.26953686172315294	0.256	0.5954545454545455
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.32850468397424737	0.2656509021557072	0.204	0.5368421052631579
HALLMARK_ANGIOGENESIS	-0.3481351979636052	0.3154083509307056	0.184	0.5111111111111111
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.3713319407311421	0.15465197707788914	0.16	0.47058823529411764
HALLMARK_KRAS_SIGNALING_UP	-0.373023813936273	0.1602452730316092	0.158	0.47058823529411764
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.3978946103853496	0.2663909624405794	0.132	0.44000000000000006
HALLMARK_MITOTIC_SPINDLE	-0.3999776850951574	0.29536446843887726	0.13	0.44000000000000006
HALLMARK_UV_RESPONSE_DN	-0.40985185278981334	0.20100582635082703	0.124	0.44000000000000006
HALLMARK_HEDGEHOG_SIGNALING	-0.4246381135955874	0.16886137822864003	0.116	0.44000000000000006
HALLMARK_E2F_TARGETS	-0.47171464723361667	0.17151432495128932	0.096	0.4363636363636364
HALLMARK_G2M_CHECKPOINT	-0.5105253675813797	0.1691931671012558	0.088	0.4363636363636364
HALLMARK_ALLOGRAFT_REJECTION	-0.518167760280085	0.23391556328959925	0.086	0.4363636363636364
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.6209496271531146	0.1528898515952993	0.054	0.33749999999999997
HALLMARK_UV_RESPONSE_UP	-0.6307208068928711	0.2599863548702958	0.05	0.33749999999999997
HALLMARK_SPERMATOGENESIS	-0.6470543811903747	0.16855050767650745	0.042	0.33749999999999997
HALLMARK_P53_PATHWAY	-0.7685286396832363	0.18454729733335146	0.024	0.24
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.7733283646966705	0.18258895724588234	0.022	0.24
HALLMARK_MYC_TARGETS_V1	-0.8350042244334785	0.17946852517978282	0.016	0.24
HALLMARK_MTORC1_SIGNALING	-0.8557054141554672	0.1591313898362503	0.008	0.2
HALLMARK_MYC_TARGETS_V2	-0.8655176051102516	0.1727165834706698	0.002	0.1
