Gene Set	C_1_tpm	C_2_tpm	C_3_tpm	VS_1_tpm	VS_2_tpm	VS_3_tpm
HALLMARK_ADIPOGENESIS	13692.854871274962	13701.701054375679	13809.99857664867	13798.879248953695	13754.356355303873	13640.941547081173
HALLMARK_ALLOGRAFT_REJECTION	9512.12575408539	9517.170896767564	9584.702102520461	9344.29275138232	9588.990396075635	9426.565721364153
HALLMARK_ANDROGEN_RESPONSE	12797.739202104842	12711.76246187526	12623.354340257225	12710.782414093095	12664.067049090958	12555.182384629832
HALLMARK_ANGIOGENESIS	9200.843365747889	8062.265314804747	7971.7765163262575	8100.940387702508	8079.863946506775	7872.530935602223
HALLMARK_APICAL_JUNCTION	10058.098133667985	9994.767156968994	10252.21511066863	9875.865970044973	10139.17639918684	10005.647440290195
HALLMARK_APICAL_SURFACE	8971.543911634884	8818.638671590508	8772.205324860586	8500.943193568863	9134.564659409847	9129.650461764555
HALLMARK_APOPTOSIS	12059.69990708761	11827.7374643262	12030.125516236603	11928.96441693995	12056.945092352624	11819.991250019479
HALLMARK_BILE_ACID_METABOLISM	10440.406222186324	10172.867842595957	10323.40284490359	10265.175975017948	10437.370380791766	10214.579598807702
HALLMARK_CHOLESTEROL_HOMEOSTASIS	12487.523777877277	12683.398659272327	12496.859319095087	12566.1104486064	12716.743550216432	12459.003274168886
HALLMARK_COAGULATION	9492.581129061598	9231.78642417024	9418.876338797087	9313.339362956252	9460.970081223093	9350.155737944016
HALLMARK_COMPLEMENT	10150.478694825732	10269.780637078135	10009.335237163375	10174.9281748331	10256.246790595866	10224.635424418257
HALLMARK_DNA_REPAIR	14565.690921071662	14504.718016572897	14569.609360893952	14615.838123473008	14554.199810153561	14529.742269379656
HALLMARK_E2F_TARGETS	15398.588133848729	15376.687046956093	15350.776409295364	15328.500847995316	15310.50323686298	15376.448123296981
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	9597.711234267237	9542.364735668092	9628.224496346982	9587.22918066363	9581.002383729918	9327.355260792596
HALLMARK_ESTROGEN_RESPONSE_EARLY	10363.505591385547	10133.273738690483	10209.382903615695	10060.636633700522	10023.854548019006	10046.282384503498
HALLMARK_ESTROGEN_RESPONSE_LATE	10781.110844295315	10439.030811773337	10326.4640728546	10409.678300580617	10401.964516343418	10634.321053666736
HALLMARK_FATTY_ACID_METABOLISM	13502.565304026459	13269.672716766245	13562.160193441887	13468.903554301874	13321.747598871667	13391.768953767718
HALLMARK_G2M_CHECKPOINT	14884.32447180963	14850.990356210124	14831.865605850115	14801.496787560924	14806.782796177182	14847.350724771259
HALLMARK_GLYCOLYSIS	12706.703289917623	12519.095549324866	12494.82334647877	12526.877616760805	12642.14170952781	12323.595756096433
