Gene Set	Score	0.95 MoE	P-Value	FDR
IPA_MYBL1_DN	0.8656824134214978	0.18472406695714688	0.0007512520868113523	0.7000000000000001
IPA_NSD1_UP	0.8648297201343327	0.1609906247420323	0.0012520868113522537	0.7000000000000001
IPA_CTBP1_UP	0.8637476454052709	0.1587172230536539	0.002086811352253756	0.7000000000000001
IPA_TAF4B_UP	0.8630870457060009	0.1713054318849987	0.002420701168614357	0.7000000000000001
IPA_AHRR_DN	0.8608032449539839	0.1701792373346615	0.0034223706176961604	0.7000000000000001
IPA_HDAC7_DN	0.8604220989781101	0.1726036680354514	0.0035058430717863106	0.7000000000000001
IPA_CBX2_UP	0.8594908096546324		0.004590984974958264	0.7857142857142857
IPA_NR2F2_UP	0.8594908096543002		0.005759599332220367	0.8222222222222222
IPA_CREB3_UP	0.8594908096540712		0.006176961602671119	0.8222222222222222
IPA_PAX7_DN	0.8565814584534932	0.15657125397426988	0.009181969949916527	0.9317073170731707
IPA_HBP1_UP	0.8512310076020173	0.1709221109050832	0.01018363939899833	0.9317073170731707
IPA_SOX4_DN	0.8499570754940887	0.17001582457524458	0.01026711185308848	0.9317073170731707
IPA_EOMES_UP	0.845650801493443	0.17177115995946943	0.011018363939899833	0.9317073170731707
IPA_MAFK_UP	0.8382033051791137		0.01327212020033389	0.9317073170731707
IPA_LITAF_DN	0.8348154203603813	0.15326351910262503	0.014023372287145243	0.9317073170731707
IPA_ZBTB33_UP	0.8316777312807137		0.014440734557595994	0.9317073170731707
IPA_KAT2B_UP	0.805839784018655		0.01928213689482471	0.9317073170731707
IPA_MYB_DN	0.7949381203568571	0.17114140321816224	0.020283806343906512	0.9317073170731707
IPA_MEF2D_DN	0.79065772768837	0.16649869680940393	0.020701168614357262	0.9317073170731707
IPA_MTF1_UP	0.7822159886465304	0.1657020631828851	0.021786310517529214	0.9317073170731707
IPA_UBE2B_DN	0.7786864895310727	0.1660361413555186	0.021953255425709514	0.9317073170731707
IPA_ELF4_DN	0.7765646542601076	0.18348956799005295	0.022203672787979967	0.9317073170731707
IPA_TFE3_DN	0.7762937766651072	0.16647275435092818	0.022287145242070115	0.9317073170731707
IPA_HOXD9_UP	0.7577193519555168	0.170634680108845	0.024040066777963272	0.9317073170731707
IPA_KDM5B_UP	0.7498104187914799	0.15997316958734287	0.025208681135225376	0.9317073170731707
IPA_BCL3_DN	0.7405778761203745	0.17188222203145967	0.02646076794657763	0.9317073170731707
IPA_KLF6_UP	0.7353989465587281	0.17354947488821842	0.02687813021702838	0.9317073170731707
IPA_NONO_UP	0.7334702507943553	0.16570084022183407	0.02712854757929883	0.9317073170731707
IPA_TRIM28_DN	0.7334702507943553	0.16570084022183407	0.02712854757929883	0.9317073170731707
IPA_GSC_DN	0.7314788813198837	0.15017762075570562	0.02746243739565943	0.9317073170731707
IPA_MTA2_DN	0.7289834573628439	0.1936941024937933	0.028046744574290485	0.9317073170731707
IPA_ARNTL_DN	0.7289834573628439	0.1936941024937933	0.028046744574290485	0.9317073170731707
IPA_NOTCH2_DN	0.7289781381193655	0.1936941361418534	0.028130217028380634	0.9317073170731707
IPA_GTF2I_UP	0.7226258069273668	0.16827548717791302	0.028797996661101836	0.9317073170731707
IPA_HOXA7_DN	0.7197673675486704	0.18438201071341084	0.028964941569282136	0.9317073170731707
IPA_RB1CC1_UP	0.7197124054107266	0.14815949024419606	0.02904841402337229	0.9317073170731707
IPA_ELF2_UP	0.7137097571273713	0.177437647065593	0.02971619365609349	0.9317073170731707
