Gene Set	C_1_tpm	C_2_tpm	C_3_tpm	VS_1_tpm	VS_2_tpm	VS_3_tpm
IPA_ABL1_DN	12670.242149238764	10505.698624909599	10757.744502924003	10576.31710648943	10490.298624021776	10643.45577895904
IPA_ABL1_UP	11014.461979546624	10377.573165976015	10474.883280394084	10433.19293700469	10314.64769906817	10560.760376938764
IPA_ACTL6A_DN						
IPA_ACTL6A_UP				4143.615640090382		
IPA_ACTR3_DN						
IPA_ACTR3_UP	6905.975430349124	11135.399720914926	10582.360228868272	6632.03942113408	10693.435528896354	6743.770267895069
IPA_ADAR_DN						
IPA_ADAR_UP	6727.351421672033	7149.6191975980155	7327.174413016123	7082.979762742253	7725.003476922116	7248.350685811102
IPA_AHRR_DN	8266.66182308906	8242.736926632566	8151.255249254291	8660.241883887747	8746.998892315416	8518.055602727654
IPA_AHRR_UP	14299.836029497066	14376.960237917538	14234.563439317933	14260.016736369238	14167.655721119741	12365.863659162449
IPA_AHR_DN	10020.35534728428	9600.777499887065	9768.842054458091	9957.125439547342	9561.123116891271	9640.40745749002
IPA_AHR_UP	10945.96879867006	10932.762438913482	10754.377771508643	11117.507599288789	10930.641485230386	10765.5216076834
IPA_AIRE_DN						
IPA_AIRE_UP	6235.3794743445305	6071.6753333568595	5368.197548156631	4534.978097169613	5555.7867128415755	4824.4281702984235
IPA_ALX4_DN	5875.663978121696	6216.673495020471	6004.6675783561295	6056.669029613421	6295.675699815201	5826.662610590786
IPA_ALX4_UP						
IPA_ALYREF_DN						
IPA_ALYREF_UP					1917.5535151148024	
IPA_ARID1A_DN	11916.76641832941	12014.128115207299	11594.341223756715	11501.859573121888	11646.460437334033	11661.838816575812
IPA_ARID1A_UP			2516.570232482445	881.5246016041555	2572.5717953749127	3134.587480117175
IPA_ARID1B_DN						
IPA_ARID1B_UP	6306.6760068119365	6553.68290028407	5022.640171920361	6794.689626303438	6624.684881808447	6473.680667580544
IPA_ARID4B_DN						
IPA_ARID4B_UP	8229.900113711177	8608.700658627586	8163.513151258082	8312.540209642899	8672.798684076148	8320.081463788916
IPA_ARNT2_DN						
IPA_ARNT2_UP	11553.50264738666	11767.222459143475	12433.043957773272	11018.303568130419	12476.744405070396	12900.093202816846
IPA_ARNTL_DN	2232.5623063849316	3262.5910524428145	2602.572632638734	3364.593899139809	4422.623426643925	4239.618319334612
IPA_ARNTL_UP	10364.69693772112	10193.502969679103	10122.288225650434	10238.804690406512	10224.379172987561	10341.11429564462
IPA_ARX_DN	1645.5459239228176					
