Gene Set	Score	0.95 MoE	P-Value	FDR
ETV1.Lung_SALE.24_DN	0.8635849859496646			
PIK3CA.Breast_HMLE_Skin_PMEL_DN	0.7708940130418671			
BRAF.Lung_SALE_DN	0.7426921468429128			
BRAF.Lung_SALE_Skin_PMEL.24_DN	0.666871363891277			
ETV1.Breast_HMLE_Skin_PMEL_UP	0.637065522864632			
AKT1.Lung_SALE_DN	0.6369186818404056			
BRAF.Breast_HMLE_Lung_SALE.24_DN	0.617699183152821			
PIK3CA.Breast_HMLE_Skin_PMEL.24_DN	0.5512699218787038			
MEKdd.Breast_HMLE_Lung_SALE_DN	0.520697551766849			
PIK3CA.Lung_SALE_Skin_PMEL.24_UP	0.48797524608423604			
MEKdd.Breast_HMLE.24_UP	0.48163179865564476			
BRAF.Lung_SALE_Skin_PMEL.Weeks_DN	0.4805629288483502			
ETV1.Lung_SALE_DN	0.4788245043696998			
ETV1.Breast_HMLE_DN	0.4296643659620724			
BRAF.Weeks_DN	0.4266686414881982			
BRAF.Lung_SALE.24_DN	0.4191492924296612			
YAP.mt.Breast_HMLE_Lung_SALE.24_DN	0.410329168256327			
PIK3CA.Breast_HMLE_DN	0.40952698070308907			
AKT1.24_UP	0.4062382811074107			
KRAS.Weeks_DN	0.396871592019732			
AKT1.Breast_HMLE_Lung_SALE_DN	0.3883063065881639			
KRAS.18_DN	0.3814412867566038			
KRAS.Breast_HMLE_Lung_SALE.18_DN	0.3814412867566038			
KRAS.Lung_SALE.18_DN	0.3814412867566038			
KRAS.Lung_SALE_Skin_PMEL.18_DN	0.3814412867566038			
KRAS.18_UP	0.37863030535532316			
KRAS.Lung_SALE_Skin_PMEL.18_UP	0.37863030535532316			
KRAS.Breast_HMLE_Lung_SALE.18_UP	0.37863030535532316			
KRAS.Lung_SALE.18_UP	0.37863030535532316			
AKT1.Lung_SALE.Weeks_UP	0.35299253861288343			
YAP.mt.Breast_HMLE_DN	0.3485335248104179			
ETV1.Breast_HMLE_UP	0.34222632590925595			
MEKdd.Lung_SALE_Skin_PMEL.Weeks_DN	0.33282093511797506			
MEKdd.Lung_SALE.Weeks_DN	0.33282093511797506			
BRAF.Breast_HMLE_Skin_PMEL.Weeks_DN	0.3139543225508362			
KRAS.Breast_HMLE_Skin_PMEL_UP	0.31332055335609443			
YAP.mt.Breast_HMLE.24_DN	0.3118473316097526			
AKT1.Breast_HMLE_Lung_SALE_UP	0.2774649888462342			
YAP.mt.Breast_HMLE.24_UP	0.27654121879776916			
PIK3CA.Breast_HMLE_Lung_SALE.24_DN	0.2758842700149567			
MEKdd.Breast_HMLE_Skin_PMEL_UP	0.2546110220229251			
KRAS.Breast_HMLE_Skin_PMEL.24_UP	0.2539404622745245			
MEKdd_DN	0.2533042744903529			
PIK3CA.Breast_HMLE.24_DN	0.2429903683248484			
KRAS.Skin_PMEL_DN	0.23670306412269523			
PIK3CA.24_DN	0.23654404426723102			
PIK3CA.Breast_HMLE_Lung_SALE.Weeks_DN	0.21800329406276628			
ETV1.Breast_HMLE.Weeks_DN	0.21577856448999053			
KRAS.Skin_PMEL.24_DN	0.20016004098182094			
ETV1.Skin_PMEL.24_DN	0.18320647001800755			
AKT1.24_DN	0.18102259380191235			
AKT1.Breast_HMLE_Lung_SALE.24_UP	0.16985677773781416			
MEKdd.Breast_HMLE_Skin_PMEL.Weeks_DN	0.168199186017741			
MEKdd.Breast_HMLE.Weeks_DN	0.168199186017741			
KRAS.Breast_HMLE.Weeks_UP	0.16442348913555382			
AKT1.Lung_SALE.Weeks_DN	0.16074853902832792			
AKT1.Lung_SALE_UP	0.15800271224005163			
BRAF.24_DN	0.15418387022171332			
ETV1.Breast_HMLE_Skin_PMEL.24_UP	0.15323304656528455			
BRAF.Lung_SALE_Skin_PMEL_DN	0.15230284840265507			
ETV1.Skin_PMEL.Weeks_UP	0.15169854114897496			
BRAF.Breast_HMLE.Weeks_DN	0.1511731448491132			
PIK3CA.Skin_PMEL_DN	0.1446609210870436			
AKT1.Skin_PMEL.24_DN	0.14451290187504223			
AKT1.Lung_SALE_Skin_PMEL_DN	0.13611737167139903			
MEKdd.Lung_SALE_DN	0.1273927304552541			
ETV1.Skin_PMEL_DN	0.12448081611021039			
ETV1.Lung_SALE.Weeks_UP	0.12289218101564066			
BRAF.Breast_HMLE_Lung_SALE.Weeks_DN	0.12064301111044688			
ETV1.Breast_HMLE.24_DN	0.1052122100827721			
AKT1.Breast_HMLE_Lung_SALE.Weeks_UP	0.10445521563490186			
PIK3CA.Weeks_DN	0.09555259632315355			
MEKdd.Breast_HMLE_Skin_PMEL_DN	0.08545475113025894			
PIK3CA.Lung_SALE.Weeks_DN	0.08544177796220895			
YAP.mt_DN	0.08316537603825981			
ETV1.Breast_HMLE_Lung_SALE_DN	0.07057094598438754			
MEKdd.Breast_HMLE_Lung_SALE_UP	0.06711997300352252			
MEKdd.Skin_PMEL.24_UP	0.06147102151319744			
MEKdd.Skin_PMEL_UP	0.06147102151319744			
YAP.mt.Breast_HMLE_Lung_SALE_DN	0.061116885909667365			
ETV1.Skin_PMEL_UP	0.06066760345440097			
AKT1.Breast_HMLE_Skin_PMEL_DN	0.05324618932291846			
