Gene Set	C_1_tpm	C_2_tpm	C_3_tpm	VS_1_tpm	VS_2_tpm	VS_3_tpm
AKT1.24_DN	13402.124872001896	13291.714718054638	13579.106056183284	13464.687431002723	13560.129298244028	13394.137915495308
AKT1.24_UP	13389.816428357914	13294.831566817538	13386.552991449244	13393.212704652438	13402.613809439223	13404.056134269576
AKT1.Breast_HMLE.24_DN	13342.242122722902	13314.055871944376	13323.116688545817	13168.630237331749	13264.0277093383	13393.64190104388
AKT1.Breast_HMLE.24_UP	13710.081100133822	13560.416609299307	13729.381566346738	13772.665306618106	13565.152332649157	13557.205537983858
AKT1.Breast_HMLE_DN	12915.473781923522	12659.702414331452	12763.70050041238	12369.69581489483	12688.621797959893	12613.238103143933
AKT1.Breast_HMLE_Lung_SALE.24_DN	11976.32608309173	11972.704349717429	12158.96856571728	12061.404598059282	12134.91123287496	11839.662040329755
AKT1.Breast_HMLE_Lung_SALE.24_UP	13147.50329768127	13115.437619832626	13509.715434473017	13528.380345423182	13366.95831108153	13158.283078049237
AKT1.Breast_HMLE_Lung_SALE.Weeks_DN	12696.592042408447	12672.130482762152	12515.438032660606	12477.386802804605	12694.110538817169	12680.069275174315
AKT1.Breast_HMLE_Lung_SALE.Weeks_UP	13467.178408516027	13259.598730518508	13480.737463290241	13346.215230654596	13515.331285765507	13508.821687408961
AKT1.Breast_HMLE_Lung_SALE_DN	13691.83755938412	13711.674913987277	13922.325866262454	13853.788938966527	14002.324143989756	13809.541457062542
AKT1.Breast_HMLE_Lung_SALE_UP	13055.791540782644	12983.4684146159	13207.906911998609	13270.969888980178	13206.101029489997	13073.404740987426
AKT1.Breast_HMLE_Skin_PMEL.24_DN	13915.73035625222	13763.214202592697	13897.216854108357	13745.486922067588	13664.412626201683	13674.882944511166
AKT1.Breast_HMLE_Skin_PMEL.24_UP	13889.728891619818	13733.726575049543	13880.521748023157	13675.887005901484	13681.26833923001	13727.587892329564
AKT1.Breast_HMLE_Skin_PMEL.Weeks_DN	11754.95838374653	11847.745879074399	11543.320508328341	11594.587658132476	11563.557880633427	11885.946050915234
AKT1.Breast_HMLE_Skin_PMEL.Weeks_UP	14124.109188145952	14300.989270687902	14146.393552239402	14060.871320257296	14066.768231239492	14153.639533387683
AKT1.Breast_HMLE_Skin_PMEL_DN	12721.91537885038	12941.01831202161	12575.768540902878	12629.955441183147	12771.908065222162	12934.10542425801
AKT1.Breast_HMLE_Skin_PMEL_UP	13977.485963854111	13962.132411484798	13961.055696060952	13903.889276912123	13985.816960360567	13968.865599322009
AKT1.Breast_HMLE_UP	14367.007864903082	14232.442599949754	14342.852639048826	14223.1695361868	14277.08493734203	14244.527697129202
AKT1.Lung_SALE.24_DN	12044.945176345454	12067.555441867522	12170.502861135627	11967.511114145198	11951.195974689108	11866.680121461388
AKT1.Lung_SALE.24_UP	12645.470716237664	12398.194486447594	12927.092145180663	12629.871413237026	12779.819724638273	12550.40047850771
AKT1.Lung_SALE.Weeks_DN	13345.87250354861	13375.030533151228	13477.077667989843	13323.674922734577	13479.557863345326	13456.278505345737
AKT1.Lung_SALE.Weeks_UP	13645.587597180485	13566.281066318288	13668.52383635446	13669.252201762847	13652.073555023799	13650.118200257426
AKT1.Lung_SALE_DN	13101.539222897456	13121.47310979344	13339.244670265465	13332.263312038085	13375.390639335514	13339.906369203267
AKT1.Lung_SALE_Skin_PMEL.24_DN	13018.569326583895	12880.708185362466	13499.726967186869	12994.031705803925	13104.640368255044	13198.635022418495
AKT1.Lung_SALE_Skin_PMEL.24_UP	13573.424990271904	13494.146850362858	13499.376603443463	13470.360110408934	13432.522634754854	13483.27192822174
AKT1.Lung_SALE_Skin_PMEL.Weeks_DN	13279.636133431844	13329.682515609602	13332.501956603483	13146.890705347336	13351.318246444078	13267.068446977333
